ID;Razón Social;País;DR Inscripción;Resolución Inscripción;Fecha Inscripción;Vigencia Hasta;DR Actualización;Resolución Actualización;Fecha Actualización;Estado
134;EURUS ENERGY FINANCE LLC.;ESTADOS UNIDOS;DR XV;3194; 30-12-2019;jun-22;DR XV ;1561; 05-07-2021;ACTUALIZADO
135;PIP4 WCB KEMONT LTD.;CANADÁ;DR XV;123; 20-01-2020;jun-22;DR XV ;1593; 08-07-2021;ACTUALIZADO
136;PIP4 PX KEMONT LTD.;CANADÁ ;DR XV;124; 20-01-2020;jun-22;DR XV ;1797; 28-07-2021;ACTUALIZADO
137;PIP4 GV KEMONT LTD.;CANADÁ;DR XV;125; 20-01-2020;jun-22;DR XV ;2014; 17-08-2021;ACTUALIZADO
138;GOLD FIELDS OROGEN HOLDING (BVI) LIMITED;ISLAS DE MAN;DR XV;126; 20-01-2020;jun-22;DR XV ;1792; 28-07-2021;ACTUALIZADO
139;BOLIVAR PROJECT FINANCE LMITED;REPUBLICA DE MAURICIO ;DR XV;355; 07-02-2020;jun-22;DR XV ;1674; 20-07-2021;ACTUALIZADO
140;UNIFRUTTI FINANCING PLC;REPUBLICA DE CHIPRE;DR XIII;240; 07-02-2020;jun-22;DR XV;1661; 19-07-2021;ACTUALIZADO
141;ATCO FINANCE II BV;PAISES BAJOS;DR XV;405; 14-02-2020;jun-22;DR XV ;1604; 09-07-2021;ACTUALIZADO
142;ACTIS INFRAESTRUCTURE MAURITIUS HOLDINGS LIMITED;REPUBLICA DE MAURICIO ;DR XV;505; 05-03-2020;jun-21;DR XV ;1867; 27-07-2020;PENDIENTE
143;MAINSTREAM RENEWABLE POWER MEZZANINE FINANCE DESIGNATED ACTIVITY COMPANY;IRLANDA;DR XV;581; 11-03-2020;jun-22;DR XV ;1970; 16-08-2021;ACTUALIZADO
144;SYNTHON INTERNATIONAL HOLDING BV;PAISES BAJOS;DR XV;879; 30-04-2020;jun-20;DR XV ;2047; 19-08-2021;EXCLUIDO
145;MASONITE FINANCE CORP.;ISLAS CAYMAN;DR XV;1067; 25-05-2020;jun-21;DR XV ;1998; 16-08-2021;EXCLUIDO
146;OPEC FUND INTERNATIONAL DEVELOPMENT;AUSTRIA;DR XV;978; 15-05-2020;jun-21;DR XV ;2048; 19-08-2021;EXCLUIDO
147;HNRG CONDOR FINANCIAL HOLDINGS LLC.;MASSACHUSETTS-USA;DR XV;2451; 28-08-2020;jun-22;DR XV ;1635; 14-07-2021;ACTUALIZADO
148;AMOV FINANCE B.V.;PAISES BAJOS;DR XV;44; 19-01-2021;jun-22;DR XV ;1720; 22-07-2021;ACTUALIZADO
149;THE HONG KONG MORTGAGE CORPORATION LIMITED.;HONG KONG;DR XV;63; 25-01-2021;jun-22;DR XV ;1637; 14-07-2021;ACTUALIZADO
150;ATC INTERNATIONAL FINANCING II B.V.;PAISES BAJOS;DR XV;126; 04-02-2021;jun-22;DR XV ;1493; 29-06-2021;ACTUALIZADO
151;RV AIP S.C.S. SICAV-SIF RV TF 2 INFRA DEBT.;LUXEMBURGO;DR XV;408; 11-03-2021;jun-22;DR XV ;1636; 14-07-2021;ACTUALIZADO
152;ETEX FINANCE S.A.;LUXEMBURGO;DR XV;1295; 01-06-2021;jun-22;DR XV ;1798; 28-07-2021;ACTUALIZADO
153;MERILUX S.A.R.L.;LUXEMBURGO;DR XV;1294; 01-06-2021;jun-22;DR XV ;1610; 09-07-2021;ACTUALIZADO
154;REPSOL GESTION DE DIVISAS SL;ESPAÑA;DR XV;1375;08-06-2021;jun-22;DR XV;1375;08-06-2021;ACTUALIZADO
155;CFSIT, INC;ESTADOS UNIDOS;DR XV;2148;03-09-2021;jun-22;DR XV;2148;03-09-2021;ACTUALIZADO
156;LAAD AMERICAS N.V.;CURAZAO;DR XV;2870;09-12-2021;jun-22;DR XV;2870;09-12-2021;ACTUALIZADO
